"Title";"Abstract"
"Making AI Accessible to Social Work Researchers: An Exploratory Analysis of Using ChatGPT to Screen Articles for Systematic and Scoping Reviews";"Purpose: Title and abstract screening is one of the most time- and resource-intensive steps in systematic and scoping reviews (SRs); however, artificial intelligence (AI) can accelerate this step without sacrificing methodological rigor. We test ChatGPT-4o's ability to accurately screen citations and present an accessible approach, tailored to social work scholars with limited AI experience. Method: Through prompt engineering, we tested how two vectorization techniques, three algorithms, and class weighting impact ChatGPT-4o's classification accuracy for article inclusion in two SRs compared to models run in a native Python environment (Jupyter Notebook). Results: ChatGPT-4o-generated models were comparable to Jupyter Notebook, with the bag of words or term frequency-inverse document frequency and logistic regression models performing well. Additionally, adjusting for class imbalance improved performance across samples and models. Discussion: This approach is effective, promoting accessibility for researchers and practitioners. We encourage future researchers to replicate and extend the use of chatbots in the screening process. © The Author(s) 2025"
"Digital Tools to Support the Systematic Review Process: An Introduction";"Background: The introduction of systematic reviews in medicine has prompted a paradigm shift in employing evidence for decision-making across various fields. Its methodology involves structured comparisons, critical appraisals, and pooled data analysis to inform decision-making. The process itself is resource-intensive and time-consuming which can impede the timely incorporation of the latest evidence into clinical practice. Aim: This article introduces digital tools designed to enhance systematic review processes, emphasizing their functionality, availability, and independent validation in peer-reviewed literature. Methods: We discuss digital evidence synthesis tools for systematic reviews, identifying tools for all review processes, tools for search strategy development, reference management, study selection, data extraction, and critical appraisal. Emphasis is on validated, functional tools with independently published method evaluations. Results: Tools like EPPI-Reviewer, Covidence, DistillerSR, and JBI-SUMARI provide comprehensive support for systematic reviews. Additional tools cater to evidence search (e.g., PubMed PICO, Trialstreamer), reference management (e.g., Mendeley), prioritization in study selection (e.g., Abstrackr, EPPI-Reviewer, SWIFT-ActiveScreener), and risk bias assessment (e.g., RobotReviewer). Machine learning and AI integration facilitate workflow efficiency but require end-user informed evaluation for their adoption. Conclusion: The development of digital tools, particularly those incorporating AI, represents a significant advancement in systematic review methodology. These tools not only support the systematic review process but also have the potential to improve the timeliness and quality of evidence available for decision-making. The findings are relevant to clinicians, researchers, and those involved in the production or support of systematic reviews, with broader applicability to other research methods. © 2025 The Author(s). Journal of Evaluation in Clinical Practice published by John Wiley & Sons Ltd."
"Validating Loon Lens 1.0 for Autonomous Abstract Screening and Confidence-Guided Human-in-the-Loop Workflows in Systematic Reviews";"Objectives: Title and abstract screening is a labor-intensive step in systematic literature reviews (SLRs). We examine the performance of Loon Lens 1.0, an agentic artificial intelligence platform for autonomous title and abstract screening and test whether its confidence scores can target minimal human oversight. Methods: A total of 8 SLRs by Canada's Drug Agency were rescreened through dual human reviewers and adjudicated process (3796 citations, 287 includes, 7.6%) and separately by Loon Lens, based on predefined eligibility criteria. Accuracy, sensitivity, precision, and specificity were measured and bootstrapped to generate 95% confidence intervals. Logistic regression with (1) confidence alone and (2) confidence + Include/Exclude decision predicted errors and informed simulated human-in-the-loop strategies. Results: Loon Lens achieved 95.5% accuracy (95% CI 94.8-96.1), 98.9% sensitivity (97.6-100), 95.2% specificity (94.5-95.9), and 63.0% precision (58.4-67.3). Errors clustered in Low-Medium-confidence Includes. The extended logistic regression model (confidence + decision; C-index 0.98) estimated a 75% error probability for Low-confidence Includes versus <0.1% for Very-High-confidence Excludes. Simulated human-in-the-loop review of Low + Medium-confidence Includes only (145 citations, 3.8%), lifted precision to 81.4% and overall accuracy to 98.2% while preserving sensitivity (99.0%). Adding High-confidence Includes (221 citations, 5.8%) pushed precision to 89.9% and accuracy to 99.0%. Conclusions: Across 8 SLRs (3796 citations), Loon Lens 1.0 reproduced adjudicated human screening with 98.9% sensitivity and 95.2% specificity. In simulation, restricting human-in-the-loop review to ≤5.8% of citations by prioritizing include calls below very-high confidence, reduced false positives and increased precision to 89.9% while maintaining sensitivity and raising overall accuracy to 99.0%. These findings indicate that confidence-guided oversight can concentrate reviewer effort on a small subset of records. © 2025"
"The performance of Covidence: An artificial intelligence-based tool for title and abstract screening in a breast cancer evidence-based clinical practice guideline";"Background: Clinical practice guidelines (CPGs) support evidence-based care but are time-consuming to develop. We aimed to compare artificial intelligence (AI)-assisted versus manual title and abstract screening (Stage I) in Covidence using data from a published breast-cancer CPG. Methods: This systematic review (SR) included 8,774 articles identified through a medical literature search, after duplicate removal. Three article subsets (n = 500, 1,000, and 2,000) were randomly selected from 8,774 articles to perform 30, 30, and 10 trials, respectively, independent Stage I AI-assisted trials. The primary outcome of each trial is workload savings achieved through AI-assisted identification of 95% and 100% relevant articles (e.g., sensitivity), and 100% of finally-included articles. The secondary outcome is missed finally-included articles when the sensitivity of 95% was reached for each subset. Results: At 95% sensitivity, 100% relevant articles and 100% finally-included articles were identified, median (minimum, maximum) workload savings were 40.7% (4.4%, 59.4%), 25.0% (0.4%, 55.2%), and 57.6% (6.2%, 76.4%) for n = 500; 38.3% (6.2%, 54.0%), 17.3% (0.0%, 39.1%), and 63.9% (0.4%, 77.5%) for n = 1,000; 16.6% (10.8%, 41.8%), 4.4% (0.3%, 20.9%), and 17.9% (0.8%, 64.6%) for n = 2,000, respectively. Covidence's performance does not improve as the size of the subsets increases for a CPG with multiple complicated research questions. A potential positive correlation between the proportion of relevant articles in initial training of Covidence and workload savings at Stage I across all 70 trials. At 95% sensitivity, five trials missed one article (n = 500); two trials missed two articles and one trial missed one article (n = 1,000); and one trial missed three articles and five trials missed one article (n = 2,000). Conclusion: AI-assistance in Covidence for Stage I screening showed promise and pitfalls in the SR for a breast cancer CPG on a complex topic. Further prospective research is needed to better understand the performance of AI-assistance in Covidence and intricacies of CPG topics. © 2025 The Author(s)"
"Designing GTP3 prompts to screen articles for systematic reviews of RCTs";"Introduction: Satisfactory sensitivity in screening articles for appropriate inclusion in systematic reviews has not yet been achieved using the group of GPT artificial intelligence (AI) systems. One issue in designing prompts for article screening is that while most of the prompt can be validated before use, i.e. on previously published systematic reviews, the part containing the inclusion criteria cannot. This study aimed to advance work in this area by trying to identify a prompt that is robust to variations in the precise wording of inclusion criteria. Prompts with this property should be able to achieve more consistent performance when applied to similar systematic reviews of health topics. Methods: A prompt, into which alternative wordings (variants) of inclusion criteria could be inserted, was tested on a training dataset of articles identified during the re-run of electronic searches for a single published review. Modification and re-testing of the prompt was undertaken until satisfactory screening sensitivity across six different inclusion criteria variants was achieved. This prompt was then validated by assessing its performance on three “test” datasets, derived from re-run electronic searches from three different reviews. Results: A prompt was successfully developed using the training dataset that achieved sensitivities of 95.8 %, 100.0 % & 100.0 % respectively in the three test datasets derived from the three different reviews. Discussion: Iterative design and testing on inclusion criteria variants produced a prompt that consistently achieved satisfactory screening sensitivity. The classification process was fast, cheap and had high specificity. Public Interest Summary: Systematic reviews summarise all articles that have tried to answer scientific questions. They are usually the gold standard of evidence in medical science and widely inform healthcare policy. However, they are very expensive and time consuming to write. The initial stage of writing systematic reviews consists of reviewing potentially tens of thousands of scientific abstracts. This process may be able to be automated by artificial intelligence (AI) including GPT3 an AI system operated by OpenAI. Previous attempts to use closely related AI models have not worked likely in part because GPT3´s performance is strongly dependant on the exact instructions or “prompts” given to GPT3. This study investigated a new method of designing these prompts which consistently achieved satisfactory screening performance when tested on articles collected for three previously published systematic reviews. © 2024 Fellowship of Postgraduate Medicine"
"Linguistic Polarity and Decision Architecture in LLM-Based Abstract Screening for Systematic Reviews";"Large language models (LLMs) are increasingly investigated for abstract screening in systematic reviews, yet it remains unclear whether screening errors attributed to linguistic complexity arise from intrinsic semantic sensitivity or from its interaction with decision architecture. We examined how five polarity variants of logically equivalent eligibility criteria—affirmative inclusion, antonymic exclusion, predicate negation, verb-level negation, and double negation—affect screening outcomes in a controlled biomedical task. Using 1000 abstracts from a reconstructed Cochrane review corpus (50 TARGET; 950 non-targets), we implemented four abstract-visible criteria within a sequential hard-gated pipeline, where failure at any step triggered irreversible exclusion. Under hard gating, linguistic polarity alone produced substantial and statistically significant variation in recall. For GPT-5.1, recall ranged from 0.72 to 0.32 despite identical logical predicates and input data. Replication with GPT-3.5 Turbo yielded a similar divergence (0.92–0.18), confirming generalization across model generations. TARGET losses were concentrated at criteria typically satisfied but inconsistently reported in abstracts, indicating conservative exclusion under evidential under-specification. To assess whether this effect is semantic or architectural, we reimplemented screening using a scoring-based evidence-accumulation framework in which each criterion contributed graded support and inclusion was determined by a tunable threshold. Under scoring, recall increased across all variants and converged within a high-sensitivity regime, while residual polarity effects were attenuated but remained detectable. Linguistic differences shifted from structural recall collapse to controlled precision–recall trade-offs. These findings show that negation sensitivity is strongly mediated by decision architecture. Irreversible gating amplifies local uncertainty into false-negative exclusion, whereas cumulative scoring preserves uncertainty and enables controllable operating thresholds. © 2026 by the authors."
"AiReview: An Open Platform for Accelerating Systematic Reviews with LLMs";"Systematic reviews are fundamental to evidence-based medicine. Creating one is time-consuming and labour-intensive, mainly due to the need to screen, or assess, many studies for inclusion in the review. Existing tools help streamline this process, mostly using traditional machine learning. Large language models (LLMs) offer new opportunities to speed up screening, yet no tool currently enables users to directly apply LLMs or ensures systematic and transparent use of these methods. This paper presents (i) a flexible framework for using LLMs in systematic review tasks, especially title and abstract screening, and (ii) a web-based interface for LLM-assisted screening. Together, they form AiReview-a novel platform that connects cutting-edge LLM-assisted screening methods with real-world systematic review practice. The live tool is available at https://aireview.ielab.io. We also release the code publicly at https://github.com/ielab/ai-review. © 2025 Copyright held by the owner/author(s)."
"Assessing the Quality of Biomedical Boolean Search Strings Generated by Prompted and Unprompted Models Using ChatGPT: A Pilot Study";"This pilot study investigated the use of Generative AI using ChatGPT to produce Boolean search strings to query PubMed. The goals were to determine if ChatGPT could be used in search string formation and if so, which approach was most effective. Research outputs from published systematic reviews were compared to outputs from AI generated search strings. While moderate overlap in publication retrieval between published and AI generated search strings was noted, the numbers were not sufficient to completely replicate published search strings and little difference was observed between prompted and unprompted GPT in using ChatGPT. © 2024 The Author(s). Published with license by Taylor & Francis Group, LLC."
"Machine learning–assisted literature screening for a medication-use process–related systematic review";"purpose: This article summarizes a novel methodology of applying machine learning (ML) algorithms trained with external training data to assist with article screening for 2 annual review series related to the medication-use process (MUP) generally and the MUP in ambulatory care settings (ACMUP) specifically. As the literature review for these 2 series grew over time, it became essential for the authors to develop methods to be efficient while still capturing most of the relevant literature. The ML model can be used to predict whether search results are likely to be relevant or not relevant. Results least likely to be relevant can then be excluded without manual screening, allowing research teams to save time that would otherwise be spent reviewing a portion of the search results for inclusion. ML models require a large training dataset typically derived from the unclassified corpus. In this study, the authors demonstrate the efficacy of training the ML model using external training data, which is possible in scenarios such as a systematic review update or ongoing review series such as those for the MUP and ACMUP. summary: The authors ran 3 simulations using screening decisions from previous publications and in-process manuscripts for the MUP and ACMUP review series to test the efficacy of the approach. The simulations were compared to actual manual screening decisions made by the research teams to include or exclude articles using title and abstract text. For each simulation, the authors developed a training dataset using a sample of screening decisions from previous years to predict article relevance in an “unclassified” corpus. In this case, the screening decisions for the unclassified corpus were actually known, allowing us to calculate recall (percent of relevant articles captured) and time saved using the number of articles that would be excluded without manual review. Combined, the ML approach correctly labeled 187 of 192 relevant studies. The 3 simulations included 17,227 unique studies, and using ML the authors demonstrated that 13,201 studies could have been excluded without manual screening while still maintaining recall of relevant articles of 95% or greater. conclusion: This novel approach is applicable to systematic reviews and ongoing review series, including those for the MUP and ACMUP. Pharmacists have a duty to review and incorporate best practices into their organizations to improve the efficiency and cost of care, optimally utilize technology, and reduce the potential for medication errors. This methodology will allow evidence syntheses for the MUP and other disciplines in pharmacy practice to be published more expeditiously by saving significant time during the article screening step. © American Society of Health-System Pharmacists 2024. All rights reserved."
"Streamlining systematic reviews with large language models using prompt engineering and retrieval augmented generation";"Background: Systematic reviews (SRs) are essential to formulate evidence-based guidelines but require time-consuming and costly literature screening. Large Language Models (LLMs) can be a powerful tool to expedite SRs. Methods: We conducted a comparative study to evaluate the performance of a commercial tool, Rayyan, and an in-house LLM-based system in automating the screening of a completed SR on Vitamin D and falls. The SR retrieved 14,439 articles, and Rayyan was trained with 2,000 manually screened articles to categorize the rest as most likely to exclude/include, likely to exclude/include and undecided. We analyzed Rayyan’s title/abstract screening performance using different inclusion thresholds. For the LLM, we used prompt engineering for title/abstract screening and Retrieval-Augmented Generation (RAG) for full-text screening. We evaluated performance using article exclusion rate (AER), false negative rate (FNR), specificity, positive predictive value (PPV), and negative predictive value (NPV). Additionally, we compared the time required to complete screening steps of the SR using both approaches against the manual screening method. Results: Using Rayyan, including considered as undecided or likely to include for title/abstract screening resulted in an AER of 72.1% and an FNR of 5%. The total estimated screening time, including manual review of articles flagged by Rayyan, was 54.7 hours. Lowering the Rayyan threshold to ‘likely to exclude’ reduced the FNR to 0% and the AER to 50.7%, but increased the screening time to 81.3 h. Using the LLM system, after title/abstract and full-text screening, 78 articles remained for manual review, including all 20 identified by traditional methods. The LLM achieved an AER of 99.5%, specificity of 99.6%, PPV of 25.6%, and NPV of 100%, with a total screening time of 25.5 h, including manual review of the 78 articles, reducing the manual screening time by 95.5%. Conclusions: The LLM-based system significantly enhances SR efficiency, compared to manual methods and Rayyan while maintaining low FNR. © The Author(s) 2025."
"Evaluating large language models for title/abstract screening: a systematic review and meta-analysis & development of new tool";"Background: Screening titles and abstracts for systematic reviews (SRs) is a labor-intensive and error-prone process. With the advent of large language models (LLMs), there is potential to automate and improve the efficiency of this process. This study aims to develop an LLM-based screening tool and compare its performance with existing LLM models in terms of sensitivity, specificity, and precision. Methods: A SR was conducted in August 2024, searching the MEDLINE, Embase, and Scopus databases for studies reporting performance metrics (sensitivity, specificity, precision) of LLM models for automatic title/abstract screening. Studies were included if they reported sufficient data to create a confusion matrix, while those requiring human intervention were excluded. Data extraction followed PRISMA guidelines, and performance metrics were pooled and summarized using forest plots and summary receiver operating characteristic (SROC) curves. Risk of bias was assessed using the Quality Assessment of Diagnostic Accuracy Studies 2 (QUADAS-2) tool. The authors created a screening tool utilizing GPT-4o-mini model and tested their utility using existing SRs. Results: The SR identified 14 LLM-based models, with varying performance metrics. The SROC analysis indicated overall excellent performance with sensitivity and specificity approaching 90%, with overall low risk of bias. In comparison, our developed model achieved 100% sensitivity but lower specificity (81%) and precision (14%). It processed entries at a speed of 1.7 seconds per entry with minimal cost. Conclusions: LLM-based models offer a promising, cost-effective alternative to manual SR screening. Although these models achieve high sensitivity, the trade-off in specificity requires careful consideration. The integration of LLMs in SR processes could enhance efficiency while maintaining reliability in academic research. © AME Publishing Company."
