id,titulo,resumo,decisao_aplicacao,justificativa_aplicacao
B029,Automated Fault Localization Using Spectrum-Based ML Models,"We combine spectrum-based fault localization signals with ML classifiers to rank suspicious statements after test failure. Evaluated on Defects4J subjects, the hybrid model improves Top-1 and Top-5 localization accuracy over pure SBFL baselines.",INCLUIR,Propõe ML para localização automática de falhas com validação no benchmark Defects4J.
B030,Bug Severity Prediction Using BERT-Based Code and Issue Representations,"We fine-tune BERT on code changes and linked issue reports to predict bug severity (critical, major, minor). Experiments on 12 open-source projects show that combining code and text modalities improves macro-F1 by 11% over code-only baselines.",INCLUIR,Propõe BERT para predição de severidade de bugs com experimentos multi-modais e validação empírica.
B031,Hybrid CNN-LSTM Model for Software Defect Prediction Using Code Sequences,"We propose a hybrid architecture combining CNN layers for local pattern extraction and LSTM layers for capturing sequential dependencies in tokenized code. Experiments on Devign and ReVeal datasets show state-of-the-art AUC and recall.",INCLUIR,Propõe arquitetura híbrida CNN-LSTM para predição de defeitos em sequências de código com validação em benchmarks.
B032,Program Slicing and Machine Learning for Defect Detection,"We extract program slices relevant to suspicious statements and feed them to ML classifiers. Slice-level features capture data-flow and control-flow dependencies that flat metrics miss. Evaluated on C programs from NIST SARD, achieving 0.89 AUC.",INCLUIR,Propõe extração de slices de programa combinada com ML para detecção de defeitos com validação empírica.
B033,Defect Prediction for Microservices Using Service-Level Metrics and ML,"Microservices introduce new defect patterns tied to inter-service communication. We propose service-level metrics and apply gradient boosting to predict defect-prone services. Industrial evaluation on four microservices systems shows 25% fewer escaped defects.",INCLUIR,Propõe predição de defeitos em microsserviços com métricas específicas e ML com validação industrial.
B034,Adversarial Training for Robust Defect Prediction Models,"Defect prediction models degrade when code style changes. We apply adversarial training to improve robustness against code normalization and renaming perturbations. Evaluated on six datasets, the adversarially trained model maintains higher AUC under distribution shift.",INCLUIR,Propõe treinamento adversarial para robustez em modelos de predição de defeitos com validação empírica.
B035,Developer Experience Features for Defect Prediction in Large-Scale Systems,"We augment traditional code metrics with developer-level features such as expertise score, team familiarity, and code ownership. Logistic regression and random forest models trained with these features show 9% AUC improvement on five industrial projects.",INCLUIR,Propõe métricas de experiência do desenvolvedor para predição de defeitos com validação em projetos industriais.
B036,Automated Test Prioritization Guided by Defect Prediction Models,"We integrate a file-level defect prediction model into a test prioritization heuristic to rank test cases by expected fault detection gain. Experiments on three continuous integration pipelines show 35% reduction in time-to-first-failure.",INCLUIR,Propõe uso de predição de defeitos para priorização de testes com validação empírica em pipelines de CI.
B037,Predicting Post-Release Defects Using Pre-Release Test Coverage and ML,"We investigate whether pre-release test coverage metrics can predict post-release defect counts. Linear regression and random forest models trained on coverage vectors from six releases of Firefox and Eclipse show significant predictive power (R² > 0.7).",INCLUIR,Propõe predição de defeitos pós-release com métricas de cobertura de testes e ML com validação empírica.
B038,Multi-Objective Optimization of Defect Prediction Models for Precision-Recall Trade-Off,"We apply NSGA-II to optimize defect prediction model hyperparameters considering both precision and recall simultaneously. The Pareto front obtained provides flexibility for teams with different quality goals. Evaluated on 12 datasets from the Promise repository.",INCLUIR,Propõe otimização multi-objetivo de modelos de predição de defeitos com validação em datasets públicos.
B039,Class-Level Defect Prediction Using Graph-Based Dependency Features,"We model class dependencies as a graph and extract centrality, coupling, and clustering features to augment CK metrics. Graph-augmented random forest models outperform metric-only baselines by 7% in F1 across eight Java systems.",INCLUIR,Propõe predição de defeitos a nível de classe com métricas de grafo de dependências e validação empírica.
B040,Systematic Mapping Study on Machine Learning for Software Defect Prediction,"We present a systematic mapping of 248 primary studies on ML-based defect prediction published between 2000 and 2023. We categorize techniques, datasets, metrics, and open challenges. The study identifies cross-project generalization and imbalance handling as the most active research fronts.",INCLUIR,Mapeamento sistemático sobre ML para predição de defeitos com categorização de estudos primários e síntese de resultados.
B041,A Survey on Agile Software Development Methodologies and Practices,"This paper reviews the literature on agile methodologies, including Scrum, Kanban, and Extreme Programming. We analyze adoption rates, reported benefits, and barriers across different team sizes and industries. No defect prediction model is proposed.",EXCLUIR,O artigo trata de metodologias ágeis sem propor ou avaliar modelo de ML para predição de defeitos.
B042,Comparative Analysis of Object-Oriented Programming Languages for Enterprise Applications,"We compare Java, C#, and Python in terms of readability, performance, and ecosystem maturity for enterprise development. The comparison is based on benchmarks and developer surveys, with no machine learning component.",EXCLUIR,O artigo compara linguagens de programação sem relação com predição de defeitos ou aprendizado de máquina.
B043,Blockchain Technology for Supply Chain Transparency: A Literature Review,"This paper reviews blockchain applications in supply chain management, covering smart contracts, traceability, and governance. The domain is operations management, unrelated to software defect prediction.",EXCLUIR,"O artigo trata de blockchain em cadeias de suprimento, fora do escopo de predição de defeitos em software."
B044,IoT Security Challenges and Mitigation Strategies in Smart Home Environments,"We survey security vulnerabilities in IoT smart home devices, categorizing attack vectors and countermeasures. Machine learning is mentioned for anomaly detection in network traffic, not for software defect prediction.",EXCLUIR,"O artigo aborda segurança em IoT para detecção de anomalias de rede, não predição de defeitos em código-fonte."
B045,A Systematic Review of Cloud Computing Architectures for Big Data Processing,"This review covers cloud architectures, distributed processing frameworks (Hadoop, Spark), and scalability patterns. No defect prediction or ML model is proposed; the domain is infrastructure and data engineering.",EXCLUIR,O artigo trata de arquiteturas de nuvem para big data sem abordar predição de defeitos em software.
B046,Requirements Engineering in Startups: Challenges and Best Practices,"We conduct a multi-case study on requirements engineering practices in 18 software startups. Key challenges include scope creep and lack of documentation. No machine learning method for defect prediction is discussed.",EXCLUIR,O artigo trata de engenharia de requisitos em startups sem relação com ML ou predição de defeitos.
B047,UI/UX Design Principles for Mobile Applications: A User Study,"We evaluate usability principles applied to 10 mobile applications through user testing with 60 participants. Metrics include task completion rate and SUS score. No machine learning or defect prediction is addressed.",EXCLUIR,O artigo aborda usabilidade de aplicações móveis sem relação com predição de defeitos ou aprendizado de máquina.
B048,Performance Tuning in Distributed Databases: Indexing and Query Optimization,"This paper presents techniques for query optimization and index selection in distributed database systems. Experiments compare B-tree and LSM-tree structures. Machine learning for defect prediction is not addressed.",EXCLUIR,"O artigo aborda otimização de bancos de dados distribuídos, fora do escopo de predição de defeitos."
B049,Code Review Practices in Large-Scale Software Teams: An Empirical Study,"We analyze 50,000 code reviews from five industrial projects to understand review efficiency, coverage, and team dynamics. Although defects are mentioned, no ML prediction model is proposed or evaluated.",EXCLUIR,O artigo estuda práticas de revisão de código empiricamente sem propor modelo de ML para predição de defeitos.
B050,Microservices Architecture Patterns: A Reference Catalogue,"This paper catalogs 42 microservices architecture patterns, describing context, problem, and solution for each. It is a design-oriented contribution with no empirical defect prediction experiment.",EXCLUIR,O artigo cataloga padrões arquiteturais de microsserviços sem abordar predição de defeitos ou aprendizado de máquina.
B051,Software Effort Estimation Using Ensemble Machine Learning Methods,"We apply random forest, XGBoost, and stacking ensemble methods to estimate software development effort using COCOMO-II metrics. Although ML is used, the target is effort estimation, not defect prediction.",EXCLUIR,"O artigo aplica ML para estimativa de esforço de software, não para predição de defeitos — fora do escopo pelo CE-4."
B052,Documentation Practices in Open Source Software Projects,"This qualitative study analyzes documentation quality and contributor behavior in 30 GitHub projects. No ML model for defect prediction is proposed. The focus is on collaborative documentation maintenance.",EXCLUIR,O artigo estuda práticas de documentação em projetos de código aberto sem abordar predição de defeitos.
B053,RESTful API Design Guidelines and Quality Metrics,"We propose a set of design guidelines and quality metrics for RESTful APIs based on expert interviews and API analysis. Defect prediction and machine learning are not addressed.",EXCLUIR,O artigo propõe métricas de qualidade de APIs REST sem relação com predição de defeitos ou ML.
B054,Load Balancing Algorithms in Cloud Environments: A Performance Evaluation,"We evaluate eight load balancing algorithms (round-robin, least-connections, AI-driven) under different traffic patterns in AWS. While ML is mentioned for traffic prediction, the domain is infrastructure performance, not software defect prediction.",EXCLUIR,O artigo avalia algoritmos de balanceamento de carga em nuvem sem relação com predição de defeitos em código.
B055,Refactoring Techniques for Improving Legacy System Maintainability,"We propose a refactoring roadmap for legacy Java EE systems based on design patterns and code smell removal. Rule-based static tools are used without any ML-based defect prediction model.",EXCLUIR,O artigo aborda refatoração de sistemas legados com ferramentas baseadas em regras sem modelo de ML para defeitos.
B056,Test-Driven Development Adoption in Industrial Projects: A Survey,"We survey 312 software professionals on TDD adoption, perceived benefits, and barriers. Quality-related outcomes are discussed qualitatively. No ML defect prediction model is proposed.",EXCLUIR,O artigo faz survey sobre TDD sem propor ou avaliar modelo de ML para predição de defeitos.
B057,Continuous Delivery Pipeline Configuration Patterns: An Industry Study,"We analyze CI/CD pipeline configurations in 40 industrial projects, identifying common patterns and anti-patterns. Pipeline optimization is the focus; defect prediction with ML is not addressed.",EXCLUIR,O artigo estuda padrões de pipelines de entrega contínua sem abordar predição de defeitos com ML.
B058,Machine Learning for Retinal Disease Classification from Fundus Images,"We apply convolutional neural networks to classify diabetic retinopathy stages from retinal fundus photographs. The domain is medical image classification; software defect prediction is out of scope.",EXCLUIR,"O artigo aplica ML em imagens médicas para classificação de doenças retinais, domínio diferente de defeitos em software."
B059,Deep Learning for Neural Machine Translation Between Low-Resource Languages,"This paper presents a multilingual neural machine translation model for low-resource language pairs using cross-lingual transfer. Software engineering and defect prediction are not addressed.",EXCLUIR,"O artigo aborda tradução automática com deep learning, fora do escopo de predição de defeitos em software."
B060,Version Control Strategies for Distributed Software Teams,"We analyze branching strategies (GitFlow, trunk-based, feature flags) and their impact on release frequency in distributed teams. Defect prediction or ML models are not part of the study.",EXCLUIR,O artigo analisa estratégias de controle de versão sem relação com predição de defeitos ou aprendizado de máquina.
B061,Software Licensing and Intellectual Property in Open Source Ecosystems,"This paper analyzes license compatibility issues in open source dependency graphs. Legal and governance aspects are the focus; machine learning and defect prediction are not addressed.",EXCLUIR,"O artigo aborda licenciamento de software e propriedade intelectual, sem relação com predição de defeitos ou ML."
B062,Network Security Protocol Comparison: TLS 1.3 vs. QUIC Performance Analysis,"We benchmark TLS 1.3 and QUIC protocols under varying network conditions, measuring latency and throughput. Network security is the domain; software defect prediction is not addressed.",EXCLUIR,O artigo compara protocolos de segurança de rede sem abordar predição de defeitos em software.
B063,Database Indexing Strategies for Analytical Query Performance,"We evaluate composite indexing, bitmap indexing, and columnar storage in OLAP workloads. Query performance is the focus; no ML defect prediction is proposed.",EXCLUIR,O artigo aborda indexação em bancos de dados analíticos sem relação com predição de defeitos ou ML.
B064,"DevOps Adoption in Enterprises: Benefits, Barriers, and Maturity Models","We present a DevOps maturity model based on surveys from 150 organizations. Although CI/CD quality improvement is discussed, no ML model for defect prediction is proposed or evaluated.",EXCLUIR,O artigo estuda adoção de DevOps em empresas sem propor modelo de ML para predição de defeitos.
B065,Software Project Risk Management Techniques: A Structured Literature Review,"This structured review covers risk identification, assessment, and mitigation techniques in software projects. No ML model for defect prediction is proposed; the focus is on project management practices.",EXCLUIR,O artigo revisa técnicas de gerenciamento de riscos em projetos de software sem abordar predição de defeitos com ML.
B066,Code Quality Metrics and Their Correlation with Post-Release Defect Counts,"We analyze the statistical correlation between 30 code quality metrics (CK, Halstead, cyclomatic complexity) and post-release defect counts in eight open-source projects. No predictive model is trained; results are descriptive.",INCERTO,O artigo analisa correlação entre métricas de código e defeitos sem construir modelo preditivo de ML — pode não atender CI-1 e CE-3.
B067,A Comparison of Static Analysis Tools for Bug Detection in C/C++ Programs,"We compare six commercial and open-source static analysis tools (Coverity, Clang-Tidy, Cppcheck) on 10 C/C++ projects. Tools are rule-based; no ML training is performed, but defect detection is the goal.",INCERTO,O artigo compara ferramentas de análise estática baseadas em regras para detecção de defeitos — pode se enquadrar em CE-2 mas o objetivo é detecção de defeitos.
B068,Technical Debt Measurement and Its Relationship with Software Defects,"We measure technical debt using SonarQube and analyze its correlation with defect density in 12 projects over three years. A linear regression model is fitted but no ML classifier for defect prediction is the primary contribution.",INCERTO,O artigo mede débito técnico e correlaciona com defeitos usando regressão linear simples — limítrofe entre CE-3 e CE-4.
B069,Mining Software Repositories for Quality Prediction: An Exploratory Study,"We mine GitHub repositories to extract historical change metrics and explore their predictive value for software quality issues. Feature importance is analyzed but no full ML pipeline with train/test evaluation is presented.",INCERTO,O artigo explora mineração de repositórios para qualidade de software sem completar o pipeline de avaliação de ML — pode não atender CI-2.
B070,Mutation Testing for Evaluating the Adequacy of Defect Prediction Test Suites,"We apply mutation testing to assess whether test suites used in defect prediction studies adequately exercise defect-prone code. The primary contribution is a test quality methodology, not a new prediction model.",INCERTO,O artigo usa mutation testing para avaliar suítes de teste em estudos de predição de defeitos — secundariamente relacionado ao tema.
B071,Code Clone Detection Using Machine Learning Techniques,"We apply ML classifiers (random forest, SVM) to detect code clones based on syntactic and semantic features. Code clones are associated with defect propagation risk, but the primary task is clone detection, not defect prediction.",INCERTO,O artigo aplica ML para detecção de clones de código com relação indireta a defeitos — pode não atender CI-1 diretamente.
B072,Software Aging and Rejuvenation Using Anomaly Detection Models,"We use isolation forests and autoencoders to detect software aging symptoms in runtime metrics. Anomaly detection is applied to performance degradation, not to predicting defects in source code.",INCERTO,O artigo aplica detecção de anomalias para envelhecimento de software em métricas de runtime — relacionado mas fora do foco em defeitos de código.
B073,Log Analysis for Failure Prediction in Distributed Systems Using LSTM,"We apply LSTM models to system log sequences to predict component failures before they occur. The work targets operational failures in production environments rather than code-level defects in source files.",INCERTO,O artigo usa LSTM para predição de falhas operacionais em logs — limítrofe entre falhas de sistema e defeitos de código.
B074,Security Vulnerability Assessment Using Automated Scanning and ML Triage,"We combine automated vulnerability scanners (OWASP ZAP, Nikto) with an ML triage model to prioritize reported vulnerabilities. The ML component ranks findings by severity but does not predict defects in source code.",INCERTO,O artigo combina scanners com ML para triagem de vulnerabilidades — relacionado mas o foco não é predição de defeitos em código-fonte.
B075,Program Repair Guided by Fault Localization and Machine Learning Patch Ranking,"We propose an automated program repair framework that uses ML to rank candidate patches. Fault localization precedes repair; the ML model selects patches, not predicts defects. Evaluated on Defects4J.",INCERTO,O artigo propõe reparo automático de programas com ML para ranqueamento de patches — processo downstream da predição de defeitos mas não é predição em si.
B076,Anti-Pattern Detection in Object-Oriented Systems Using Machine Learning,"We train classifiers to detect design anti-patterns (God Class, Spaghetti Code) using structural metrics. Anti-patterns correlate with defect density, but the primary task is structural quality detection, not defect prediction.",INCERTO,O artigo aplica ML para detecção de anti-padrões de design com correlação indireta a defeitos — pode não atender CI-1 diretamente.
B077,Fault Injection Testing in Safety-Critical Embedded Systems,"We apply fault injection to evaluate the resilience of safety-critical systems (automotive, avionics). Statistical models are fitted to failure distributions. The domain is dependability testing, not code defect prediction with ML.",INCERTO,O artigo aborda injeção de falhas para sistemas críticos com modelos estatísticos — limítrofe com predição de defeitos mas foco diferente.
B078,Test Case Generation Using Evolutionary Algorithms for Defect Detection,"We apply genetic algorithms to generate test cases maximizing branch and mutation coverage in Java programs. The contribution is test generation, not defect prediction with ML classifiers.",INCERTO,O artigo usa algoritmos evolutivos para geração de testes visando detectar defeitos — indiretamente relacionado mas sem modelo de predição de defeitos.
B079,Performance Anomaly Detection in Microservices Using Autoencoders,"We train autoencoders on service latency and error rate time series to detect performance anomalies in microservices at runtime. Although ML is used, the target is operational anomaly, not source code defect prediction.",INCERTO,O artigo aplica ML para detecção de anomalias de desempenho em microsserviços em produção — relacionado mas fora do escopo de defeitos em código-fonte.
B080,Software Effort Estimation Using Story Points and Neural Networks in Agile Projects,"We train a neural network on historical sprint data to estimate story point effort in agile teams. Although neural networks are applied to software data, the target variable is effort, not defect presence.",INCERTO,"O artigo aplica redes neurais para estimativa de esforço em projetos ágeis — ML aplicado a software mas alvo é esforço, não defeitos (CE-4)."
